Position,Const,Created,Modified,Description,Name,Known For,Birth Date
2268,nm0632970,2012-08-10,2012-08-10,2 points,Ivan Nichev,1952: Ivan i Aleksandra,1940-07-31
2269,nm0162166,2012-08-11,2012-08-11,2 points,Milan Cieslar,Pramen zivota,1960-04-26
2270,nm1318393,2012-08-26,2012-08-26,2 points,Anahí Berneri,Un año sin amor,
2271,nm0872112,2012-07-26,2012-07-26,2 point,Luis Trenker,Der Kaiser von Kalifornien,1892-10-04
2272,nm0220131,2012-07-27,2012-07-27,2 points,Hans Deppe,Der Pfarrer von Kirchfeld,1897-11-12
2273,nm0459801,2012-07-28,2012-07-28,2 points,Werner Klingler,Die letzten Vier von Santa Cruz,1903-10-23
2274,nm0681726,2015-09-03,2015-09-03,2 points,Lupu Pick,Das Panzergewölbe,1886-01-02
2275,nm0016966,2015-04-06,2015-04-06,2 points,Nicolai Albrecht,Mitfahrer,
2276,nm0609264,2012-07-28,2012-07-28,2 points,Imo Moszkowicz,Über Kreuz,1925-07-27
2277,nm0666685,2012-08-05,2012-08-05,2 points,Peter Patzak,Kassbach - Ein Portrait,1945-01-02
2278,nm0550059,2014-01-17,2014-01-17,2 points,Vincenzo Marra,Tornando a casa,1972-09-18
2279,nm0162952,2015-12-26,2015-12-26,2 points,Sergio Citti,I magi randagi,1933-05-30
2280,nm0631438,2016-02-09,2016-02-09,2 points,William Nigh,Born Rich,1881-10-12
2281,nm0546008,2012-09-01,2012-09-01,2 points,Paula Markovitch,El premio,1968-05-28
2282,nm0955901,2016-04-24,2016-04-24,2 points,Vasily Zhuravlyov,V nebe tol'ko devushki,1904-08-02
2283,nm3466425,2016-03-24,2016-03-24,2 points,Peter Wood,In Search of Gregory,1925-10-08
2284,nm0863254,2012-08-11,2012-08-11,2 points,Eric Till,Luther,1929-11-24
2285,nm0394114,2012-08-18,2012-08-18,2 points,Ben Hopkins,The Nine Lives of Tomas Katz,
2286,nm0735705,2012-08-11,2012-08-11,2 points,Alberto Rodríguez,La isla mínima,1971-05-11
2287,nm0342829,2012-08-12,2012-08-12,2 points,Wiktor Grodecki,Mandragora,1960-02-25
2288,nm0832748,2012-08-12,2012-08-12,2 points,Oliver Storz,Drei Tage im April,1929-04-30
2289,nm2947014,2012-08-18,2012-08-18,2 points,Benjamin Gilmour,Jirga,
2290,nm0628655,2012-08-11,2012-08-11,2 points,Filip Van Neyghem,Blinker,1969-06-02
2291,nm1164653,2012-08-18,2012-08-18,2 points,Atsushi Funahashi,Echoes,
2292,nm0501713,2015-07-04,2015-07-04,2 points,Stanislaw Lenartowicz,Czerwone i zlote,1921-02-07
2293,nm0326370,2014-06-22,2014-06-22,2 points,Phil Goldstone,The Vampire Bat,1893-02-22
2294,nm2669494,2013-02-07,2013-02-07,2 points,Marina Lyubakova,Zhestokost,
2295,nm0277230,2015-01-20,2015-01-20,2 points,Sophie Fillières,Des filles et des chiens,1964-11-02
2296,nm0700217,2012-08-11,2012-08-11,2 points,Algimantas Puipa,Vilko dantu karoliai,1951-06-14
2297,nm0610182,2012-08-19,2012-08-19,2 points,Jean-Marc Moutout,Violence des échanges en milieu tempéré,1966-03-16
2298,nm1556113,2015-07-26,2015-07-26,2 points,Leo Khasin,Kaddisch für einen Freund,1973-04-29
2299,nm0919227,2012-08-19,2012-08-19,2 points,Ina Weisse,Der Architekt,1968-06-12
2300,nm0296360,2013-02-03,2013-02-03,2 points,Friedemann Fromm,Weissensee,1963-03-26
2301,nm0917274,2012-08-19,2012-08-19,2 points,Nicole Weegmann,Ihr könnt euch niemals sicher sein,
2302,nm0209010,2012-08-19,2012-08-19,2 points,Mijke de Jong,Tussenstand,1959-09-23
2303,nm0152834,2012-07-26,2012-07-26,2 points,Erik Charell,Der Kongreß tanzt,1895-04-09
2304,nm0778306,2016-01-31,2016-01-31,2 points,Reinhold Schünzel,Notorious,1886-11-07
2305,nm0910000,2012-08-19,2012-08-19,2 points,Connie Walter,Das erste Mal,1962-09-17
2306,nm0772191,2012-07-27,2012-07-27,2 points,Wolfgang Schleif,Ännchen von Tharau,1912-05-14
2307,nm0395483,2012-08-26,2012-08-26,2 points,Rita Horst,Romeo,
2308,nm0473144,2012-08-11,2012-08-11,2 points,Klaus Krämer,3 Chinesen mit dem Kontrabass,
2309,nm0184738,2012-07-26,2012-07-26,2 points,William J. Cowen,Half Marriage,1886-12-21
2310,nm2308287,2012-08-19,2012-08-19,2 points,Yu-Chieh Cheng,Yang Yang,1977-11-27
2311,nm0412999,2012-08-19,2012-08-19,2 points,Dariusz Jablonski,Fotoamator,1961-05-30
2312,nm0257148,2012-07-27,2012-07-28,2 points,Thomas Engel,Pünktchen und Anton,1922-04-18
2313,nm0902025,2012-07-27,2012-07-27,2 points,Eduard von Borsody,Wunschkonzert,1898-06-13
2314,nm5743956,2015-04-18,2015-04-18,2 points,Berit Madsen,Sepideh,
2315,nm0772905,2012-08-04,2012-08-04,2 points,Eckhart Schmidt,E.T.A. Hoffmanns Der Sandmann,1938-10-31
2316,nm1932706,2012-08-18,2012-08-18,2 points,Anaïs Barbeau-Lavalette,Inch'Allah,
2317,nm0865573,2012-08-12,2012-08-12,2 points,Ricky Tognazzi,Ultrà,1955-05-01
2318,nm0069833,2013-03-16,2013-03-16,2 points,María Luisa Bemberg,De eso no se habla,1922-04-14
2319,nm0083900,2014-12-21,2014-12-21,2 points,Samuel Bischoff,The Roaring Twenties,1890-08-11
2320,nm0049728,2014-12-15,2014-12-15,2 points,Ferdinando Baldi,Missione finale,1917-05-19
2321,nm0268609,2012-08-04,2012-08-04,2 points,André Farwagi,Le temps de mourir,1935-07-04
2322,nm1212506,2012-08-11,2012-08-11,2 points,Eike Besuden,Verrückt nach Paris,1948-12-21
2323,nm0135167,2012-08-11,2012-08-11,2 points,Giorgio Capitani,Il maresciallo Rocca,1927-12-29
2324,nm0606130,2012-08-18,2012-08-18,2 points,Yuriy Moroz,Likvidatsiya,1956-09-29
2325,nm0710038,2012-08-06,2012-08-06,2 points,Dana Ranga,Story,
2326,nm0117389,2013-03-15,2013-03-15,2 points,Ryszard Brylski,Zurek,1950-04-01
2327,nm2835452,2016-04-27,2016-04-27,2 points,Agnieszka Smoczynska,Córki dancingu,1978-05-18
2328,nm1274194,2013-03-15,2013-03-15,2 points,Marek Lechki,Erratum,1975-07-09
2329,nm1037528,2012-08-19,2012-08-19,2 points,Adrian Wills,All Together Now,
2330,nm0364154,2015-02-04,2015-02-04,2 points,Daniel Harrich,Der blinde Fleck,1983-08-07
2331,nm0347451,2012-07-26,2012-07-26,2 points,Fred Guiol,Giant,1898-02-17
2332,nm0265684,2012-09-01,2012-09-01,2 points,Heidi Maria Faisst,Frit fald,
2333,nm0907779,2012-07-27,2012-07-27,2 points,Hal Walker,The Stork Club,1896-03-20
2334,nm1015458,2012-08-11,2012-08-11,2 points,Sergiu Prodan,Patul lui Procust,
2335,nm3534176,2017-01-15,2017-01-15,2 points,Johnny Ma,Lao Shi,
2336,nm2280980,2012-12-24,2012-12-24,2 points,Lucy Mulloy,Una noche,
2337,nm1848357,2016-08-04,2016-08-04,2 points,Samuel Collardey,L'apprenti,
2338,nm0275793,2014-12-03,2014-12-03,2 points,Carsten Fiebeler,Straßensperre,1965-06-18
2339,nm0471966,2014-01-04,2014-01-04,2 points,Stefan Krohmer,Sie haben Knut,
2340,nm0591046,2012-09-01,2012-09-01,2 points,Aleksandr Mindadze,V subbotu,1949-04-28
2341,nm2611855,2013-02-16,2013-02-16,2 points,Jung-chi Chang,Ni guang fei xiang,
2342,nm0777564,2017-01-15,2017-01-15,2 points,Florian Schwarz,Tatort,1974-02-28
2343,nm0316230,2012-08-12,2012-08-12,2 points,Constantine Giannaris,Dekapentavgoustos,
2344,nm0583800,2017-01-18,2017-01-18,2 points,Theo Mezger,Raumpatrouille - Die phantastischen Abenteuer des Raumschiffes Orion,1923-08-10
2345,nm0576449,2012-08-12,2012-08-12,2 points,Gil Mehmert,Aus der Tiefe des Raumes,1965-02-19
2346,nm1203923,2012-08-12,2012-08-12,2 points,Sathyan Ramesh,Letzter Moment,
2347,nm4664429,2017-01-15,2017-01-15,2 points,Alex Anwandter,Nunca Vas a Estar Solo,1983-03-24
2348,nm0331964,2015-01-14,2015-01-14,2 points,Franz Josef Gottlieb,Mister Dynamit - Morgen küßt euch der Tod,1930-11-01
2349,nm0617767,2012-08-11,2012-08-11,1 point,Márta Mészáros,Örökbefogadás,1931-09-19
2350,nm0407990,2012-08-04,2012-08-04,1 point,Im Kwon-taek,Chunhyangdyun,1934-12-08
2351,nm0275494,2016-07-15,2016-07-15,1 point,Jacques Feyder,La kermesse héroïque,1885-07-21
2352,nm0408195,2012-08-04,2012-08-04,1 point,Markus Imhoof,Das Boot ist voll,1941-09-19
2353,nm0105344,2012-08-04,2012-08-05,1 point,Thomas Brasch,Engel aus Eisen,1945-02-19
2354,nm0493764,2012-08-05,2012-08-05,1 point,Magdalena Lazarkiewicz,Gleboka woda,1954-06-06
2355,nm0951731,2012-07-29,2012-07-29,1 point,Peter Zadek,"Ich bin ein Elefant, Madame",1926-05-19
2356,nm0614225,2015-09-18,2015-09-18,1 point,Dudley Murphy,Stocks and Blondes,1897-07-10
2357,nm0652974,2014-09-07,2014-09-07,1 point,Fyodor Otsep,Miss Mend,1895-02-09
2358,nm0842944,2012-07-28,2012-07-29,1 point,Hans-Jürgen Syberberg,Ludwig - Requiem für einen jungfräulichen König,1935-12-08
2359,nm0189076,2013-04-13,2013-04-13,1 point,Alan Crosland,Shadows of the Sea,1894-08-10
2360,nm0688364,2015-04-13,2015-04-13,1 point,Hans Jürgen Pohland,Tamara,1934-12-04
2361,nm0875030,2015-03-08,2015-03-08,1 point,Dito Tsintsadze,Schussangst,1957-03-02
2362,nm1142235,2012-09-01,2012-09-01,1 point,Guy Nattiv,Skin,1973-05-24
2363,nm0510245,2012-08-04,2012-08-04,1 point,Peter Lilienthal,David,1929-11-27
2364,nm0672704,2012-08-03,2012-08-03,1 point,Nicos Perakis,Loufa kai parallagi,1944-09-11
2365,nm0959099,2014-10-22,2014-10-22,1 point,Tomasz Zygadlo,Odwet,1947-12-23
2366,nm0771705,2012-07-29,2012-08-04,1 point,Niklaus Schilling,Der Willi-Busch-Report,1944-04-23
2367,nm0538107,2012-08-11,2012-08-11,1 point,Lech Majewski,Mlyn i krzyz,1953-08-30
2368,nm0434189,2012-08-11,2012-08-11,1 point,Karel Kachyna,Nadeje,1924-05-01
2369,nm0805073,2012-08-04,2012-08-04,1 point,Antonio Skármeta,Ardiente paciencia,
2370,nm0776209,2012-08-04,2012-08-04,1 point,Carl Schultz,"Careful, He Might Hear You",1939-09-19
2371,nm0613996,2012-08-26,2012-08-26,1 point,Wolfgang Murnberger,Himmel oder Hölle,1960-11-13
2372,nm0323418,2012-08-04,2012-08-04,1 point,Wolfgang Glück,Funny Games,1929-09-29
2373,nm0001970,2012-08-06,2012-08-06,1 point,Klaus Maria Brandauer,Out of Africa,1943-06-22
2374,nm0826452,2012-07-27,2012-07-27,1 point,Robert A. Stemmle,Berliner Ballade,1903-06-10
2375,nm0833965,2016-11-12,2016-11-12,1 point,Frank R. Strayer,Gorilla Ship,1891-09-20
2376,nm0161797,2012-08-26,2012-08-26,1 point,Angelo Cianci,Dernier étage gauche gauche,
2377,nm2209378,2012-08-26,2012-08-26,1 point,Lu Zhang,Gyeongju,1962-05-30
2378,nm0826094,2012-07-26,2012-07-26,1 point,Hans Steinhoff,Ohm Krüger,1882-03-10
2379,nm0497908,2012-08-06,2012-08-06,1 point,Min-Yong Lee,Gyae-got-un nalui ohu,1958-06-16
2380,nm0374959,2012-08-26,2012-08-26,1 point,Sophie Heldman,Satte Farben vor Schwarz,
2381,nm0748207,2012-08-06,2012-08-06,1 point,Sergio Rubini,The Passion of the Christ,1959-12-21
2382,nm0089777,2012-08-05,2012-08-11,1 point,Hans-Christoph Blumenberg,Planet der Kannibalen,1947-03-01
2383,nm0478094,2012-08-04,2012-08-11,1 point,Norbert Kückelmann,Morgen in Alabama,1930-05-01
2384,nm0936204,2012-07-29,2012-08-04,1 point,Franz Peter Wirth,Helden,1919-09-22
2385,nm0680109,2013-05-24,2013-05-24,1 point,Will Tremper,Die endlose Nacht,1928-09-19
2386,nm0127158,2016-05-26,2016-05-26,1 point,Jürgen Böttcher,Jahrgang 45,1931-07-08
2387,nm2134169,2012-12-24,2012-12-24,1 point,Yong-hi Yang,Kazoku no kuni,1964-11-11
2388,nm0906143,2012-08-19,2012-08-19,1 point,Ulla Wagner,Die Entdeckung der Currywurst,
2389,nm2035480,2012-08-19,2012-08-19,1 point,André Schäfer,Deutschboden,1966-08-30
2390,nm0895455,2012-08-19,2012-08-19,1 point,Marcus Vetter,Das Herz von Jenin,
2391,nm3619456,2012-08-19,2012-08-19,1 point,Seung-bin Baek,Jang-rye-shik-eui-mem-beo,
2392,nm0921837,2012-08-19,2012-08-19,1 point,Dominik Wessely,Broadway Bruchsal,
2393,nm0266510,2012-08-19,2012-08-19,1 point,Luigi Falorni,Die Geschichte vom weinenden Kamel,1971-01-04
2394,nm1503387,2012-08-19,2012-08-19,1 point,Salvatore Mereu,Bellas mariposas,
2395,nm0762997,2012-08-11,2012-08-11,1 point,Pierre Sanoussi-Bliss,Zurück auf Los!,1962-08-17
2396,nm2495734,2012-12-24,2012-12-24,1 point,Brian M. Cassidy,Francine,
2397,nm2104547,2012-12-24,2012-12-24,1 point,Melanie Shatzky,The Delaware Project,
2398,nm1776064,2012-08-19,2012-08-19,1 point,Sung Hyung Cho,Full Metal Village,
2399,nm0774368,2012-12-24,2012-12-24,1 point,Hartmut Schoen,Warten ist der Tod,
2400,nm0756389,2012-08-18,2012-08-18,1 point,Djamila Sahraoui,Yema,
2401,nm0777960,2012-08-06,2012-08-06,1 point,Stefan Schwietert,Heimatklänge,1961-01-29
2402,nm0324506,2012-07-27,2012-07-27,1 point,Curt Goetz,Frauenarzt Dr. Prätorius,1888-11-17
2403,nm0795900,2014-08-16,2014-08-16,1 point,Shunkai Mizuho,Ano oka koete,
2404,nm0361068,2012-07-27,2012-07-27,1 point,Rolf Hansen,Dr. Holl,1904-12-12
2405,nm0363623,2012-07-27,2012-07-27,1 point,Falk Harnack,Der 20. Juli,1913-03-02
2406,nm0231671,2014-12-27,2014-12-27,1 point,Ottomar Domnick,Jonas,1907-04-20
2407,nm0010627,2012-08-18,2012-08-18,1 point,Witold Adamek,Krótki film o milosci,1945-11-07
2408,nm0458107,2016-07-06,2016-07-06,1 point,Palle Kjærulff-Schmidt,Tukuma,1931-07-07
2409,nm0597390,2012-08-18,2012-08-18,1 point,Kaori Momoi,Memoirs of a Geisha,1952-04-08
2410,nm0637438,2015-07-15,2015-07-15,1 point,Marek Nowicki,Widziadlo,1935-04-09
2411,nm0030762,2012-07-28,2012-07-28,1 point,Franz Antel,Der Bockerer 2,1913-06-28
2412,nm0146637,2012-08-18,2012-08-18,1 point,Brice Cauvin,L'art de la fugue,1966-02-14
2413,nm1099646,2012-08-11,2012-08-11,1 point,Przemyslaw Reut,Paradox Lake,1968-03-14
2414,nm2196871,2014-01-04,2014-01-04,1 point,Asli Özge,Köprüdekiler,
2415,nm0014050,2012-08-18,2012-08-18,1 point,Kerstin Ahlrichs,Kehrwoche,
2416,nm0436878,2012-08-11,2012-08-11,1 point,Zoltán Kamondi,Kísértések,1960-04-06
2417,nm0562388,2013-12-07,2013-12-07,1 point,Gerald Mayer,Mission: Impossible,1919-06-05
2418,nm0001159,2012-08-11,2012-08-11,1 point,Faye Dunaway,Bonnie and Clyde,1941-01-14
2419,nm0090596,2012-08-11,2012-08-11,1 point,Marc-Andreas Bochert,Kleingeld,
2420,nm0343547,2012-08-11,2012-08-11,1 point,Nina Grosse,Der gläserne Himmel,1958-08-11
2421,nm0405440,2015-07-02,2015-07-02,1 point,Rolf Hädrich,Verspätung in Marienborn,1931-04-24
2422,nm0770257,2012-08-12,2012-08-12,1 point,Christoph Schaub,Wendel,
2423,nm0417370,2012-08-06,2012-08-06,1 point,Krystyna Janda,Przesluchanie,1952-12-18
2424,nm0086920,2012-08-12,2012-08-12,1 point,Christophe Blanc,Blanc comme neige,1966-08-01
2425,nm2127019,2012-08-12,2012-08-12,1 point,Chang-ho Cho,Piteopaeneui gongshik,
2426,nm0002157,2012-08-04,2012-08-04,1 point,Herbert Achternbusch,Das letzte Loch,1938-11-23
2427,nm0799595,2012-08-11,2012-08-11,1 point,Peeter Simm,Head käed,1953-02-24
2428,nm0127804,2012-08-12,2012-08-12,1 point,Dominique Cabrera,Folle embellie,1957-12-21
2429,nm0653267,2012-08-18,2012-08-18,1 point,Katharina Otto-Bernstein,Mapplethorpe: Look at the Pictures,
2430,nm0003916,2012-08-11,2012-08-18,1 point,Tim Trageser,Die letzte Sekunde,1969-11-28
2431,nm0769569,2012-08-05,2012-08-10,1 point,Bernd Schadewald,Schicksalsspiel,1950-11-24
2432,nm0592677,2012-08-12,2012-08-12,1 point,Georg Misch,Calling Hedy Lamarr,
2433,nm0530689,2012-08-04,2012-08-04,1 point,Marianne Lüdcke,Familienglück,1943-07-22
2434,nm0718115,2012-07-27,2012-07-27,1 point,John Reinhardt,Chicago Calling,1901-02-24
2435,nm0403346,2012-07-28,2012-07-28,1 point,Georg Hurdalek,Rosen für den Staatsanwalt,1908-02-06
2436,nm0728699,2012-07-29,2012-07-29,1 point,Rudolf Zehetgruber,Ein Käfer auf Extratour,1926-09-16
2437,nm0459080,2012-08-19,2012-08-19,1 point,Andreas Kleinert,Wege in die Nacht,
2438,nm0381015,2012-08-12,2012-08-12,1 point,Marc Hertel,Alarm für Cobra 11 - Die Autobahnpolizei,
2439,nm1507490,2013-02-23,2013-02-23,1 point,Jakob Ziemnicki,1. Mai,1975-12-31
2440,nm3106028,2017-01-15,2017-01-15,1 point,Louis-Julien Petit,One Day,
2441,nm5028357,2017-01-15,2017-01-15,1 point,Emir Baigazin,Uroki garmonii,1984-07-19
2442,nm0601182,2012-08-12,2012-08-12,1 point,Eoin Moore,Plus-minus null,
2443,nm0826409,2012-08-19,2012-08-19,1 point,Manfred Stelzer,Schwarzfahrer,1944-09-22
2444,nm0008331,2012-08-12,2012-08-12,1 point,Ernest Abdyjaparov,Saratan,1961-02-27
2445,nm0697448,2012-08-11,2012-08-11,1 point,Claudia Prietzel,Schande,1958-09-08
2446,nm0117929,2012-08-18,2012-08-18,1 point,Franziska Buch,Verschwinde von hier,1960-11-15
2447,nm5043275,2013-03-17,2013-03-17,1 point,Anna Plutecka-Mesjasz,Szkola,
2448,nm0501365,2012-07-29,2012-08-04,1 point,Klaus Lemke,Amore,1940-10-13
2449,nm0644345,2012-08-12,2012-08-12,1 point,Jobst Oetzmann,Tatort,
2450,nm1597589,2012-08-12,2012-08-12,1 point,Malte Ludin,Tonsüchtig - Die Wiener Symphoniker von Innen,
2451,nm0118177,2012-08-12,2012-08-12,1 point,Christopher Buchholz,Der Staat gegen Fritz Bauer,1962-02-04
2452,nm0305681,2012-08-12,2012-08-12,1 point,Mercedes García Guevara,Río escondido,
2453,nm0755974,2012-09-01,2012-09-01,1 point,Jonathan Sagall,Kesher Ir,1959-04-23
2454,nm0708214,2012-08-12,2012-08-12,1 point,Gholam Reza Ramezani,Charkh,
2455,nm1271328,2012-08-12,2012-08-12,1 point,Michale Boganim,La terre outragée,1977-07-17
2456,nm0929660,2012-08-18,2012-08-18,1 point,Nils Willbrandt,Der Parfumeur,
2457,nm0462899,2012-08-11,2012-08-18,1 point,Volker Koepp,Herr Zwilling und Frau Zuckermann,1944-06-22
2458,nm0511277,2012-08-18,2012-08-18,1 point,Boguslaw Linda,Psy,1952-06-27
2459,nm4092908,2014-04-21,2014-04-21,1 point,Anna Wieczur-Bluszcz,Byc jak Kazimierz Deyna,
2460,nm2155554,2012-12-24,2012-12-24,1 point,Spiros Stathoulopoulos,PVC-1,1978-12-05
2461,nm3383582,2014-01-04,2014-01-04,1 point,Ana Guevara,Tanta agua,
2462,nm3087245,2014-01-04,2014-01-04,1 point,Leticia Jorge,Tanta agua,
2463,nm1965582,2012-12-24,2012-12-24,1 point,Filip Marczewski,Melodramat,1974-11-02
2464,nm0583444,2012-08-18,2012-08-18,1 point,Franziska Meyer Price,Undercover Love,
2465,nm0821526,2012-09-01,2012-09-01,1 point,Simon Staho,Dag och natt,1972-06-02
2466,nm2520373,2012-08-18,2012-08-18,1 point,Árpád Bogdán,Genezis,1976-06-13
2467,nm1356503,2012-08-18,2012-08-18,1 point,Seng Tat Liew,Lelaki harapan dunia,1979-09-30
2468,nm2601092,2012-12-24,2012-12-24,1 point,Olmo Omerzu,Rodinný film,1984-11-24
2469,nm2695704,2012-08-18,2012-08-18,1 point,Ishtar Yasin Gutierrez,Dos Fridas,
2470,nm0352583,2012-08-18,2012-08-18,1 point,Ben Hackworth,Celeste,1977-07-12
2471,nm0090707,2012-08-05,2012-08-05,1 point,Walter Bockmayer,Flammende Herzen,1948-07-04
2472,nm0783888,2012-08-11,2012-08-11,1 point,Peter Sempel,Jonas in the Jungle,
2473,nm0548096,2012-07-28,2012-07-28,1 point,Georg Marischka,The Boys from Brazil,1922-06-29
2474,nm0948693,2012-07-28,2012-07-28,1 point,Eugen York,Morituri,1912-11-26
2475,nm0251243,2012-07-29,2012-07-29,1 point,Gustav Ehmck,Spur eines Mädchens,1937-12-01
2476,nm0834028,2012-08-05,2012-08-05,1 point,Frank Strecker,Der Schrei des Schmetterlings,1941-06-15
2477,nm0279043,2012-08-11,2012-08-11,1 point,Markus Fischer,Marmorera,
2478,nm2639503,2014-01-04,2014-01-04,1 point,Tom Shoval,Youth,
2479,nm0935529,2015-01-20,2015-01-20,1 point,Edoardo Winspeare,Pizzicata,1965-09-14
2480,nm0629151,2015-01-20,2015-01-20,1 point,Minh Nguyen-Vo,Mùa len trâu,
2481,nm2038130,2015-01-20,2015-01-20,1 point,Anna Kazejak,Oda do radosci,1979-01-15
2482,nm1732967,2014-02-21,2014-02-21,1 point,Leila Kilani,Sur la planche,
2483,nm2136602,2014-01-04,2014-01-04,1 point,Jose Luis Valle,Workers,
2484,nm0508098,2014-01-04,2014-01-04,1 point,Nikolaus Leytner,Der Trafikant,1957-10-26
2485,nm1475355,2012-12-29,2012-12-29,1 point,Paul Smaczny,El sistema,
2486,nm0742144,2013-01-13,2013-01-13,1 point,Marianne Rosenbaum,Peppermint-Frieden,1940-05-22
2487,nm2854355,2012-12-29,2012-12-29,1 point,Maria Stodtmeier,El sistema,
2488,nm2187916,2017-01-15,2017-01-15,1 point,Till Harms,Die Prüfung,
2489,nm0900947,2012-08-11,2012-08-11,1 point,Peter Vogel,Tatort,1938-07-18
2490,nm0458562,2014-01-04,2014-01-04,1 point,Isabel Kleefeld,Das Gespenst von Canterville,
2491,nm0500722,2012-07-28,2012-07-28,1 point,Hermann Leitner,Flying Clipper - Traumreise unter weissen Segeln,1927-09-03
2492,nm0485790,2014-01-04,2014-01-04,1 point,Joachim Lang,Dreigroschenfilm,
2493,nm0829078,2012-08-12,2012-08-12,1 point,Isabelle Stever,Das Wetter in geschlossenen Räumen,
2494,nm1556145,2016-05-30,2016-05-30,1 point,Thomas Sieben,Distanz,
2495,nm0256820,2014-01-04,2014-01-04,1 point,Sylke Enders,Kroko,1965-04-05
2496,nm0902108,2012-07-27,2012-07-27,1 point,Volker von Collande,Das Bad auf der Tenne,1913-11-21
2497,nm0537991,2012-07-29,2012-07-29,1 point,Armin Maiwald,Die Sendung mit der Maus,1940-01-23
2498,nm2039919,2012-08-12,2012-08-12,1 point,Auraeus Solito,Pisay,
2499,nm0091854,2012-08-04,2012-08-04,1 point,Willy Bogner,A View to a Kill,1942-01-23
2500,nm0576666,2012-08-11,2012-08-11,1 point,Dieter Meier,Lightmaker,1945-03-04
2501,nm0668165,2012-08-11,2012-08-11,"0,5 point",Babak Payami,Raye makhfi,
2502,nm0936851,2012-08-04,2012-08-04,"0,5 point",Claus Peter Witt,Die Gentlemen bitten zur Kasse,1932-03-24
2503,nm0072364,2012-09-01,2012-09-01,"0,5 point",Faouzi Bensaïdi,Mille mois,1967-03-14
2504,nm0764585,2012-08-12,2012-08-12,"0,5 point",Joaquim Sapinho,Corte de Cabelo,
2505,nm1764581,2012-08-18,2012-08-18,"0,5 point",Eric Friedler,The Voice of Peace,1971-06-20
2506,nm0894204,2012-07-28,2012-07-28,"0,4 point",Paul Verhoeven,Vergiß die Liebe nicht,1901-06-23
2507,nm0902006,2014-09-13,2014-09-13,"0,4 point",Géza von Bolváry,Opernball,1897-12-26
2508,nm0360324,2012-08-04,2012-08-04,"0,4 point",Ken Hannam,Sunday Too Far Away,1929-07-12
2509,nm0300168,2012-08-04,2012-08-04,"0,4 point",Radu Gabrea,Romania! Romania!,1937-06-20
2510,nm0310088,2012-08-11,2012-08-11,"0,4 point",Uli Gaulke,Havanna mi amor,1968-08-19
2511,nm0527439,2013-01-13,2013-01-13,"0,4 point",Miloslav Luther,Andel milosrdenství,1945-08-14
2512,nm1509905,2012-08-26,2012-08-26,"0,4 point",Elmar Fischer,Fremder Freund,
2513,nm0598214,2012-08-05,2012-08-05,"0,4 point",Egon Monk,Die Bertinis,1927-05-18
2514,nm0445056,2012-08-11,2012-08-11,"0,4 point",Judith Keil,Dancing with Myself,1973-04-12
2515,nm0472894,2012-08-11,2012-08-11,"0,4 point",Antje Kruska,Dancing with Myself,1973-07-13
2516,nm1136378,2012-08-12,2012-08-12,"0,4 point",Shmuel Haimovich,HaDavar HaGadol HaMeyuhad,
